Organizational Set Name|Organizational Set Description|Org Set Type|Job in Org Set
FG-RT-10417876|Fund Group Org Set Reports to 10417876|All|UCSDH/Medical Center/Perioperative/4200795/795
FG-RT-10417892|Fund Group Org Set Reports to 10417892|All|UCSDH/Medical Center/CVC - Pulmonology/4200771/771
FG-RT-10417918|Fund Group Org Set Reports to 10417918|All|UCSDH/Medical Center/Facilities/4200485/485
FG-RT-10417918|Fund Group Org Set Reports to 10417918|All|UCSDH/Medical Center/Facilities/4200852/852
FG-RT-10417985|Fund Group Org Set Reports to 10417985|All|UCSDH/Medical Center/Nursing/4200602/602
FG-RT-10418293|Fund Group Org Set Reports to 10418293|All|UCSDH/Health Physician Group/Faculty Practice/4310100/2482
FG-RT-10418293|Fund Group Org Set Reports to 10418293|All|UCSDH/Health Physician Group/Faculty Practice/4310100/2493
FG-RT-10418293|Fund Group Org Set Reports to 10418293|All|UCSDH/Health Physician Group/Faculty Practice/4310100/2504
FG-RT-10418293|Fund Group Org Set Reports to 10418293|All|UCSDH/Health Physician Group/Faculty Practice/4310100/2610
FG-RT-10418293|Fund Group Org Set Reports to 10418293|All|UCSDH/Medical Center/Lab/4200734/734
FG-RT-10418294|Fund Group Org Set Reports to 10418294|All|UCSDH/Medical Center/Family Houses/4200256/256
FG-RT-10418294|Fund Group Org Set Reports to 10418294|All|UCSDH/Medical Center/Family Houses/4200961/961
FG-RT-10418294|Fund Group Org Set Reports to 10418294|All|UCSDH/Medical Center/FNS/4200800/800
FG-RT-10418359|Fund Group Org Set Reports to 10418359|All|UCSDH/Medical Center/CVC - Pulmonology/4200678/678
FG-RT-10418419|Fund Group Org Set Reports to 10418419|All|UCSDH/Medical Center/Lab/4200722/722
FG-RT-10418419|Fund Group Org Set Reports to 10418419|All|UCSDH/Medical Center/Lab/4200731/731
FG-RT-10418458|Fund Group Org Set Reports to 10418458|All|UCSDH/Medical Center/BMT/4200379/379
FG-RT-10418458|Fund Group Org Set Reports to 10418458|All|UCSDH/Medical Center/General Hospital/4200995/995
FG-RT-10418458|Fund Group Org Set Reports to 10418458|All|UCSDH/Medical Center/International/4200385/385
FG-RT-10418458|Fund Group Org Set Reports to 10418458|All|UCSDH/Medical Center/Oncology/4200186/186
FG-RT-10418458|Fund Group Org Set Reports to 10418458|All|UCSDH/Medical Center/Oncology/4200193/193
FG-RT-10418604|Fund Group Org Set Reports to 10418604|All|UCSDH/Medical Center/Pharmacy/4200286/286
FG-RT-10418652|Fund Group Org Set Reports to 10418652|All|UCSDH/Medical Center/ED/4200145/145
FG-RT-10418652|Fund Group Org Set Reports to 10418652|All|UCSDH/Medical Center/ED/4200230/230
FG-RT-10418664|Fund Group Org Set Reports to 10418664|All|UCSDH/Medical Center/ED/4200145/145
FG-RT-10418664|Fund Group Org Set Reports to 10418664|All|UCSDH/Medical Center/ED/4200230/230
FG-RT-10418689|Fund Group Org Set Reports to 10418689|All|UCSDH/Health Physician Group/Faculty Practice/4310035/2500
FG-RT-10418689|Fund Group Org Set Reports to 10418689|All|UCSDH/Health Physician Group/Faculty Practice/4310152/2582
FG-RT-10418697|Fund Group Org Set Reports to 10418697|All|UCSDH/Health Physician Group/Community Care/4310101/2733
FG-RT-10418697|Fund Group Org Set Reports to 10418697|All|UCSDH/Medical Center/PT-OT/4200225/225
FG-RT-10418697|Fund Group Org Set Reports to 10418697|All|UCSDH/Medical Center/PT-OT/4200779/779
FG-RT-10418734|Fund Group Org Set Reports to 10418734|All|UCSDH/Health Physician Group/Faculty Practice/4310035/2500
FG-RT-10418734|Fund Group Org Set Reports to 10418734|All|UCSDH/Health Physician Group/Faculty Practice/4310152/2582
FG-RT-10418743|Fund Group Org Set Reports to 10418743|All|UCSDH/Medical Center/Perioperative/4200323/323
FG-RT-10418743|Fund Group Org Set Reports to 10418743|All|UCSDH/Medical Center/Perioperative/4200325/325
FG-RT-10418744|Fund Group Org Set Reports to 10418744|All|UCSDH/Medical Center/Pharmacy/4200727/727
FG-RT-10418754|Fund Group Org Set Reports to 10418754|All|UCSDH/Medical Center/CVC - Cardiovascular/4200243/243
FG-RT-10418776|Fund Group Org Set Reports to 10418776|All|UCSDH/Medical Center/Experience/4200493/493
FG-RT-10418776|Fund Group Org Set Reports to 10418776|All|UCSDH/Medical Center/Experience/4200916/916
FG-RT-10418776|Fund Group Org Set Reports to 10418776|All|UCSDH/Medical Center/Experience/4200959/959
FG-RT-10418776|Fund Group Org Set Reports to 10418776|All|UCSDH/Medical Center/Experience/4200966/966
FG-RT-10418776|Fund Group Org Set Reports to 10418776|All|UCSDH/Medical Center/Interpreter Services/4200920/920
FG-RT-10418796|Fund Group Org Set Reports to 10418796|All|UCSDH/Medical Center/MJ - Outpatient Clinics/4200194/194
FG-RT-10418819|Fund Group Org Set Reports to 10418819|All|UCSDH/Medical Center/OPO-Tissue/4200747/747
FG-RT-10418820|Fund Group Org Set Reports to 10418820|All|UCSDH/Medical Center/Marketing/4200978/978
FG-RT-10418820|Fund Group Org Set Reports to 10418820|All|UCSDH/Medical Center/Marketing/4200979/979
FG-RT-10418996|Fund Group Org Set Reports to 10418996|All|UCSDH/Health Physician Group/Faculty Practice/4310028/2737
FG-RT-10418996|Fund Group Org Set Reports to 10418996|All|UCSDH/Medical Center/CV - Clinical Administration/4200260/260
FG-RT-10418996|Fund Group Org Set Reports to 10418996|All|UCSDH/Medical Center/CV - Clinical Administration/4200915/915
FG-RT-10418996|Fund Group Org Set Reports to 10418996|All|UCSDH/Medical Center/CV - Clinical Administration/4200922/922
FG-RT-10419029|Fund Group Org Set Reports to 10419029|All|UCSDH/Health Physician Group/East Campus/4310022/2887
FG-RT-10419029|Fund Group Org Set Reports to 10419029|All|UCSDH/Health Physician Group/Faculty Practice/4310056/2578
FG-RT-10419071|Fund Group Org Set Reports to 10419071|All|UCSDH/Medical Center/FNS/4200353/353
FG-RT-10419087|Fund Group Org Set Reports to 10419087|All|UCSDH/Health Physician Group/Faculty Practice/4310095/2499
FG-RT-10419151|Fund Group Org Set Reports to 10419151|All|UCSDH/Medical Center/Supply Chain/4200913/913
FG-RT-10419300|Fund Group Org Set Reports to 10419300|All|UCSDH/Medical Center/CAO TBD - Outpatient Clinics/4200672/672
FG-RT-10419308|Fund Group Org Set Reports to 10419308|All|UCSDH/Medical Center/ED/4200145/145
FG-RT-10419308|Fund Group Org Set Reports to 10419308|All|UCSDH/Medical Center/ED/4200230/230
FG-RT-10419332|Fund Group Org Set Reports to 10419332|All|UCSDH/Medical Center/Nursing/4200690/690
FG-RT-10419332|Fund Group Org Set Reports to 10419332|All|UCSDH/Medical Center/Nursing/4200929/929
FG-RT-10419335|Fund Group Org Set Reports to 10419335|All|UCSDH/Medical Center/Nursing/4200237/237
FG-RT-10419351|Fund Group Org Set Reports to 10419351|All|UCSDH/Medical Center/Revenue Cycle/4200886/886
FG-RT-10419353|Fund Group Org Set Reports to 10419353|All|UCSDH/Medical Center/Lab/4200724/724
FG-RT-10419353|Fund Group Org Set Reports to 10419353|All|UCSDH/Medical Center/Lab/4200732/732
FG-RT-10419372|Fund Group Org Set Reports to 10419372|All|UCSDH/Medical Center/BMT/4200389/389
FG-RT-10419372|Fund Group Org Set Reports to 10419372|All|UCSDH/Medical Center/MJ - Outpatient Clinics/4200194/194
FG-RT-10419372|Fund Group Org Set Reports to 10419372|All|UCSDH/Medical Center/MJ - Outpatient Clinics/4200310/310
FG-RT-10419372|Fund Group Org Set Reports to 10419372|All|UCSDH/Medical Center/Oncology/4200193/193
FG-RT-10419372|Fund Group Org Set Reports to 10419372|All|UCSDH/Medical Center/Oncology/4200198/198
FG-RT-10419372|Fund Group Org Set Reports to 10419372|All|UCSDH/Medical Center/Oncology/4200282/282
FG-RT-10419373|Fund Group Org Set Reports to 10419373|All|UCSDH/Medical Center/ED/4200641/641
FG-RT-10419373|Fund Group Org Set Reports to 10419373|All|UCSDH/Medical Center/ED/4200665/665
FG-RT-10419416|Fund Group Org Set Reports to 10419416|All|UCSDH/Medical Center/Revenue Cycle/4200937/937
FG-RT-10419496|Fund Group Org Set Reports to 10419496|All|UCSDH/Medical Center/Radiology/4200622/622
FG-RT-10419496|Fund Group Org Set Reports to 10419496|All|UCSDH/Medical Center/Radiology/4200761/761
FG-RT-10419505|Fund Group Org Set Reports to 10419505|All|UCSDH/Health Physician Group/Faculty Practice/4310022/2480
FG-RT-10419505|Fund Group Org Set Reports to 10419505|All|UCSDH/Health Physician Group/Faculty Practice/4310055/2608
FG-RT-10419550|Fund Group Org Set Reports to 10419550|All|UCSDH/Medical Center/Revenue Cycle/4200937/937
FG-RT-10419588|Fund Group Org Set Reports to 10419588|All|UCSDH/Health Science/Human Resources/3000219/0018
FG-RT-10419642|Fund Group Org Set Reports to 10419642|All|UCSDH/Medical Center/Experience/4200959/959
FG-RT-10419884|Fund Group Org Set Reports to 10419884|All|UCSDH/Medical Center/Pharmacy/4200275/275
FG-RT-10419884|Fund Group Org Set Reports to 10419884|All|UCSDH/Medical Center/Pharmacy/4200729/729
FG-RT-10419884|Fund Group Org Set Reports to 10419884|All|UCSDH/Medical Center/Pharmacy/4200797/797
FG-RT-10419911|Fund Group Org Set Reports to 10419911|All|UCSDH/Medical Center/Marketing/4200884/884
FG-RT-10419919|Fund Group Org Set Reports to 10419919|All|UCSDH/Medical Center/Nursing/4200238/238
FG-RT-10420081|Fund Group Org Set Reports to 10420081|All|UCSDH/Medical Center/Lab/4200723/723
FG-RT-10420133|Fund Group Org Set Reports to 10420133|All|UCSDH/Medical Center/EJ - Operations Support/4200876/876
FG-RT-10420150|Fund Group Org Set Reports to 10420150|All|UCSDH/Medical Center/Revenue Cycle/4200511/511
FG-RT-10420150|Fund Group Org Set Reports to 10420150|All|UCSDH/Medical Center/Revenue Cycle/4200938/938
FG-RT-10420150|Fund Group Org Set Reports to 10420150|All|UCSDH/Medical Center/Revenue Cycle/4200960/960
FG-RT-10420155|Fund Group Org Set Reports to 10420155|All|UCSDH/Medical Center/OPO-Tissue/4200747/747
FG-RT-10420189|Fund Group Org Set Reports to 10420189|All|UCSDH/Health Physician Group/Faculty Practice/4310046/2024
FG-RT-10420189|Fund Group Org Set Reports to 10420189|All|UCSDH/PHSO/IS/4441039/2792
FG-RT-10420212|Fund Group Org Set Reports to 10420212|All|UCSDH/Health Physician Group/Faculty Practice/4310095/2425
FG-RT-10420212|Fund Group Org Set Reports to 10420212|All|UCSDH/Health Physician Group/Faculty Practice/4310095/2508
FG-RT-10420212|Fund Group Org Set Reports to 10420212|All|UCSDH/Health Physician Group/Faculty Practice/4310136/2436
FG-RT-10420212|Fund Group Org Set Reports to 10420212|All|UCSDH/Health Physician Group/Faculty Practice/4310142/2517
FG-RT-10420212|Fund Group Org Set Reports to 10420212|All|UCSDH/Medical Center/EJ - Outpatient Clinics/4200654/654
FG-RT-10420212|Fund Group Org Set Reports to 10420212|All|UCSDH/Medical Center/EJ - Outpatient Clinics/4200671/671
FG-RT-10420305|Fund Group Org Set Reports to 10420305|All|UCSDH/Health Physician Group/Faculty Practice/4310048/2507
FG-RT-10420305|Fund Group Org Set Reports to 10420305|All|UCSDH/Medical Center/CAO TBD - Outpatient Clinics/4200672/672
FG-RT-10420413|Fund Group Org Set Reports to 10420413|All|UCSDH/Medical Center/CVC - Pulmonology/4200220/220
FG-RT-10420413|Fund Group Org Set Reports to 10420413|All|UCSDH/Medical Center/CVC - Pulmonology/4200446/446
FG-RT-10420413|Fund Group Org Set Reports to 10420413|All|UCSDH/Medical Center/CVC - Pulmonology/4200771/771
FG-RT-10420440|Fund Group Org Set Reports to 10420440|All|UCSDH/Medical Center/Nursing/4200110/110
FG-RT-10420440|Fund Group Org Set Reports to 10420440|All|UCSDH/Medical Center/Nursing/4200156/156
FG-RT-10420440|Fund Group Org Set Reports to 10420440|All|UCSDH/Medical Center/Nursing/4200304/304
FG-RT-10420440|Fund Group Org Set Reports to 10420440|All|UCSDH/Medical Center/Nursing/4200308/308
FG-RT-10420440|Fund Group Org Set Reports to 10420440|All|UCSDH/Medical Center/Nursing/4200320/320
FG-RT-10420442|Fund Group Org Set Reports to 10420442|All|UCSDH/Health Physician Group/Community Care/4310033/2515
FG-RT-10420457|Fund Group Org Set Reports to 10420457|All|UCSDH/Medical Center/FNS/4200351/351
FG-RT-10420457|Fund Group Org Set Reports to 10420457|All|UCSDH/Medical Center/FNS/4200352/352
FG-RT-10420473|Fund Group Org Set Reports to 10420473|All|UCSDH/Medical Center/Nursing/4200635/635
FG-RT-10420473|Fund Group Org Set Reports to 10420473|All|UCSDH/Medical Center/Nursing/4200640/640
FG-RT-10420486|Fund Group Org Set Reports to 10420486|All|UCSDH/Medical Center/EHS/4200840/840
FG-RT-10420501|Fund Group Org Set Reports to 10420501|All|UCSDH/Medical Center/EJ - Outpatient Clinics/4200315/315
FG-RT-10420504|Fund Group Org Set Reports to 10420504|All|UCSDH/PHSO/MSO Admin/4441001/2862
FG-RT-10420508|Fund Group Org Set Reports to 10420508|All|UCSDH/Health Physician Group/Faculty Practice/4310110/2435
FG-RT-10420508|Fund Group Org Set Reports to 10420508|All|UCSDH/Health Physician Group/Faculty Practice/4310125/2123
FG-RT-10420508|Fund Group Org Set Reports to 10420508|All|UCSDH/Medical Center/CAO TBD - Outpatient Clinics/4200672/672
FG-RT-10420585|Fund Group Org Set Reports to 10420585|All|UCSDH/Medical Center/Pharmacy/4200733/733
FG-RT-10420590|Fund Group Org Set Reports to 10420590|All|UCSDH/Medical Center/Chief of Staff Office/4200879/879
FG-RT-10420590|Fund Group Org Set Reports to 10420590|All|UCSDH/Medical Center/Chief of Staff Office/4200983/983
FG-RT-10420598|Fund Group Org Set Reports to 10420598|All|UCSDH/Medical Center/ED/4200460/460
FG-RT-10420623|Fund Group Org Set Reports to 10420623|All|UCSDH/Health Physician Group/Faculty Practice/4310090/2148
FG-RT-10420642|Fund Group Org Set Reports to 10420642|All|UCSDH/Medical Center/ED/4200145/145
FG-RT-10420642|Fund Group Org Set Reports to 10420642|All|UCSDH/Medical Center/ED/4200230/230
FG-RT-10420645|Fund Group Org Set Reports to 10420645|All|UCSDH/Medical Center/OPO-Tissue/4200778/778
FG-RT-10420660|Fund Group Org Set Reports to 10420660|All|UCSDH/Health Physician Group/Community Care/4310033/2515
FG-RT-10420660|Fund Group Org Set Reports to 10420660|All|UCSDH/Health Physician Group/Community Care/4310049/2688
FG-RT-10420660|Fund Group Org Set Reports to 10420660|All|UCSDH/Health Physician Group/Community Care/4310050/2511
FG-RT-10420660|Fund Group Org Set Reports to 10420660|All|UCSDH/Health Physician Group/Community Care/4310050/2816
FG-RT-10420660|Fund Group Org Set Reports to 10420660|All|UCSDH/Health Physician Group/Faculty Practice/4310138/2492
FG-RT-10420746|Fund Group Org Set Reports to 10420746|All|UCSDH/Health Physician Group/Community Care/4310016/2712
FG-RT-10420746|Fund Group Org Set Reports to 10420746|All|UCSDH/Health Physician Group/Faculty Practice/4310016/2375
FG-RT-10420746|Fund Group Org Set Reports to 10420746|All|UCSDH/Health Physician Group/Faculty Practice/4310016/2872
FG-RT-10420746|Fund Group Org Set Reports to 10420746|All|UCSDH/Medical Center/CVC - Cardiovascular/4200229/229
FG-RT-10420746|Fund Group Org Set Reports to 10420746|All|UCSDH/Medical Center/CVC - Cardiovascular/4200750/750
FG-RT-10420746|Fund Group Org Set Reports to 10420746|All|UCSDH/Medical Center/CVC - Cardiovascular/4200785/785
FG-RT-10420755|Fund Group Org Set Reports to 10420755|All|UCSDH/Health Physician Group/Faculty Practice/4310022/2480
FG-RT-10420755|Fund Group Org Set Reports to 10420755|All|UCSDH/Health Physician Group/Faculty Practice/4310052/2567
FG-RT-10420755|Fund Group Org Set Reports to 10420755|All|UCSDH/Health Physician Group/Faculty Practice/4310059/2447
FG-RT-10420755|Fund Group Org Set Reports to 10420755|All|UCSDH/Health Physician Group/Faculty Practice/4310133/2868
FG-RT-10420755|Fund Group Org Set Reports to 10420755|All|UCSDH/Medical Center/CAO TBD - Operations Support/4200875/875
FG-RT-10420755|Fund Group Org Set Reports to 10420755|All|UCSDH/Medical Center/COOs Office/4200939/939
FG-RT-10420755|Fund Group Org Set Reports to 10420755|All|UCSDH/Medical Center/Directors Office/4200910/910
FG-RT-10420777|Fund Group Org Set Reports to 10420777|All|UCSDH/Medical Center/Perioperative/4200632/632
FG-RT-10420777|Fund Group Org Set Reports to 10420777|All|UCSDH/Medical Center/Perioperative/4200636/636
FG-RT-10420777|Fund Group Org Set Reports to 10420777|All|UCSDH/Medical Center/Perioperative/4200708/708
FG-RT-10420777|Fund Group Org Set Reports to 10420777|All|UCSDH/Medical Center/Pharmacy/4200657/657
FG-RT-10420791|Fund Group Org Set Reports to 10420791|All|UCSDH/Health Physician Group/Faculty Practice/4310022/2480
FG-RT-10420791|Fund Group Org Set Reports to 10420791|All|UCSDH/Medical Center/Pharmacy/4200275/275
FG-RT-10420791|Fund Group Org Set Reports to 10420791|All|UCSDH/Medical Center/Pharmacy/4200727/727
FG-RT-10420813|Fund Group Org Set Reports to 10420813|All|UCSDH/Medical Center/Transplant/4200698/698
FG-RT-10420813|Fund Group Org Set Reports to 10420813|All|UCSDH/Medical Center/Transplant/4200745/745
FG-RT-10420919|Fund Group Org Set Reports to 10420919|All|UCSDH/Health Physician Group/Faculty Practice/4310046/2024
FG-RT-10420919|Fund Group Org Set Reports to 10420919|All|UCSDH/Medical Center/Information Services/4200914/914
FG-RT-10420980|Fund Group Org Set Reports to 10420980|All|UCSDH/Health Physician Group/Faculty Practice/4310074/2025
FG-RT-10420980|Fund Group Org Set Reports to 10420980|All|UCSDH/Medical Center/Information Services/4200830/830
FG-RT-10420993|Fund Group Org Set Reports to 10420993|All|UCSDH/Medical Center/Supply Chain/4200173/173
FG-RT-10421053|Fund Group Org Set Reports to 10421053|All|UCSDH/Medical Center/Nursing/4200135/135
FG-RT-10421062|Fund Group Org Set Reports to 10421062|All|UCSDH/Medical Center/Marketing/4200884/884
FG-RT-10421062|Fund Group Org Set Reports to 10421062|All|UCSDH/Medical Center/Marketing/4200908/908
FG-RT-10421062|Fund Group Org Set Reports to 10421062|All|UCSDH/Medical Center/Marketing/4200979/979
FG-RT-10421091|Fund Group Org Set Reports to 10421091|All|UCSDH/Medical Center/International/4200385/385
FG-RT-10421112|Fund Group Org Set Reports to 10421112|All|UCSDH/Health Physician Group/Faculty Practice/4310056/2578
FG-RT-10421128|Fund Group Org Set Reports to 10421128|All|UCSDH/Medical Center/FNS/4200800/800
FG-RT-10421128|Fund Group Org Set Reports to 10421128|All|UCSDH/Medical Center/FNS/4200804/804
FG-RT-10421131|Fund Group Org Set Reports to 10421131|All|UCSDH/Medical Center/CVC - Pulmonology/4200771/771
FG-RT-10421178|Fund Group Org Set Reports to 10421178|All|UCSDH/Medical Center/LM - Operations Support/4200239/239
FG-RT-10421178|Fund Group Org Set Reports to 10421178|All|UCSDH/Medical Center/LM - Outpatient Clinics/4200241/241
FG-RT-10421182|Fund Group Org Set Reports to 10421182|All|UCSDH/Health Science/Health Science Miscellaneous/3000192/C38
FG-RT-10421182|Fund Group Org Set Reports to 10421182|All|UCSDH/Medical Center/Nursing/4200969/969
FG-RT-10421195|Fund Group Org Set Reports to 10421195|All|UCSDH/Medical Center/Security/4200843/843
FG-RT-10421216|Fund Group Org Set Reports to 10421216|All|UCSDH/Health Physician Group/Faculty Practice/4310022/2480
FG-RT-10421219|Fund Group Org Set Reports to 10421219|All|UCSDH/Medical Center/Emergency Management/4200903/903
FG-RT-10421223|Fund Group Org Set Reports to 10421223|All|UCSDH/Medical Center/Compliance/4200883/883
FG-RT-10421227|Fund Group Org Set Reports to 10421227|All|UCSDH/Medical Center/Psychiatry/4200221/221
FG-RT-10421300|Fund Group Org Set Reports to 10421300|All|UCSDH/Medical Center/Marketing/4200974/974
FG-RT-10421300|Fund Group Org Set Reports to 10421300|All|UCSDH/Medical Center/Marketing/4200979/979
FG-RT-10421552|Fund Group Org Set Reports to 10421552|All|UCSDH/Health Science/Human Resources/3000219/0019
FG-RT-10421557|Fund Group Org Set Reports to 10421557|All|UCSDH/Health Physician Group/Faculty Practice/4310031/2855
FG-RT-10421557|Fund Group Org Set Reports to 10421557|All|UCSDH/Health Physician Group/Faculty Practice/4310080/2856
FG-RT-10421575|Fund Group Org Set Reports to 10421575|All|UCSDH/Medical Center/Nursing - Women and Infants/4200767/767
FG-RT-10421588|Fund Group Org Set Reports to 10421588|All|UCSDH/Medical Center/EVS/4200362/362
FG-RT-10421609|Fund Group Org Set Reports to 10421609|All|UCSDH/Health Physician Group/Faculty Practice/4310134/2461
FG-RT-10421609|Fund Group Org Set Reports to 10421609|All|UCSDH/Medical Center/Transplant/4200745/745
FG-RT-10421621|Fund Group Org Set Reports to 10421621|All|UCSDH/Medical Center/CAO TBD - Outpatient Clinics/4200681/681
FG-RT-10421623|Fund Group Org Set Reports to 10421623|All|UCSDH/PHSO/IS/4441040/2723
FG-RT-10421627|Fund Group Org Set Reports to 10421627|All|UCSDH/Medical Center/Revenue Cycle/4200825/825
FG-RT-10421701|Fund Group Org Set Reports to 10421701|All|UCSDH/Medical Center/Finance/4200905/905
FG-RT-10421731|Fund Group Org Set Reports to 10421731|All|UCSDH/Medical Center/Oncology/4200185/185
FG-RT-10421731|Fund Group Org Set Reports to 10421731|All|UCSDH/Medical Center/Oncology/4200187/187
FG-RT-10421731|Fund Group Org Set Reports to 10421731|All|UCSDH/Medical Center/Oncology/4200190/190
FG-RT-10421741|Fund Group Org Set Reports to 10421741|All|UCSDH/Medical Center/OPO-Tissue/4200747/747
FG-RT-10421741|Fund Group Org Set Reports to 10421741|All|UCSDH/Medical Center/OPO-Tissue/4200778/778
FG-RT-10421756|Fund Group Org Set Reports to 10421756|All|UCSDH/Health Physician Group/Faculty Practice/4310066/2020
FG-RT-10421756|Fund Group Org Set Reports to 10421756|All|UCSDH/Health Physician Group/Faculty Practice/4310066/2092
FG-RT-10421756|Fund Group Org Set Reports to 10421756|All|UCSDH/Health Physician Group/Faculty Practice/4310089/2867
FG-RT-10421756|Fund Group Org Set Reports to 10421756|All|UCSDH/Medical Center/CAO TBD - Outpatient Clinics/4200675/675
FG-RT-10421756|Fund Group Org Set Reports to 10421756|All|UCSDH/Medical Center/CAO TBD - Outpatient Clinics/4200684/684
FG-RT-10421756|Fund Group Org Set Reports to 10421756|All|UCSDH/Medical Center/Medicine - Procedural/4200788/788
FG-RT-10421757|Fund Group Org Set Reports to 10421757|All|UCSDH/Medical Center/Security/4200482/482
FG-RT-10421831|Fund Group Org Set Reports to 10421831|All|UCSDH/Health Physician Group/Faculty Practice/4310177/2794
FG-RT-10421831|Fund Group Org Set Reports to 10421831|All|UCSDH/Medical Center/Information Services/4200851/851
FG-RT-10421831|Fund Group Org Set Reports to 10421831|All|UCSDH/PHSO/IS/4441039/2792
FG-RT-10421835|Fund Group Org Set Reports to 10421835|All|UCSDH/Medical Center/Nursing/4200633/633
FG-RT-10421835|Fund Group Org Set Reports to 10421835|All|UCSDH/Medical Center/Nursing/4200637/637
FG-RT-10421857|Fund Group Org Set Reports to 10421857|All|UCSDH/Health Physician Group/Faculty Practice/4310177/2794
FG-RT-10421857|Fund Group Org Set Reports to 10421857|All|UCSDH/Medical Center/Information Services/4200856/856
FG-RT-10421908|Fund Group Org Set Reports to 10421908|All|UCSDH/Medical Center/FNS/4200803/803
FG-RT-10421908|Fund Group Org Set Reports to 10421908|All|UCSDH/Medical Center/FNS/4200804/804
FG-RT-10421908|Fund Group Org Set Reports to 10421908|All|UCSDH/Medical Center/FNS/4200948/948
FG-RT-10421927|Fund Group Org Set Reports to 10421927|All|UCSDH/Medical Center/MJ - Outpatient Clinics/4200194/194
FG-RT-10421933|Fund Group Org Set Reports to 10421933|All|UCSDH/Medical Center/EC PT-OT/4200442/442
FG-RT-10421933|Fund Group Org Set Reports to 10421933|All|UCSDH/Medical Center/PT-OT/4200779/779
FG-RT-10421934|Fund Group Org Set Reports to 10421934|All|UCSDH/Medical Center/Medicine - Nephrology/4200793/793
FG-RT-10421957|Fund Group Org Set Reports to 10421957|All|UCSDH/Medical Center/Nursing/4200468/468
FG-RT-10421957|Fund Group Org Set Reports to 10421957|All|UCSDH/Medical Center/Nursing/4200692/692
FG-RT-10421980|Fund Group Org Set Reports to 10421980|All|UCSDH/Medical Center/Nursing/4200692/692
FG-RT-10422012|Fund Group Org Set Reports to 10422012|All|UCSDH/Health Physician Group/Faculty Practice/4310056/2578
FG-RT-10422046|Fund Group Org Set Reports to 10422046|All|UCSDH/Medical Center/Supply Chain/4200173/173
FG-RT-10422126|Fund Group Org Set Reports to 10422126|All|UCSDH/Medical Center/MZ - Operations Support/4200499/499
FG-RT-10422126|Fund Group Org Set Reports to 10422126|All|UCSDH/Medical Center/Nursing/4200141/141
FG-RT-10422126|Fund Group Org Set Reports to 10422126|All|UCSDH/Medical Center/Nursing/4200403/403
FG-RT-10422126|Fund Group Org Set Reports to 10422126|All|UCSDH/Medical Center/Nursing/4200404/404
FG-RT-10422126|Fund Group Org Set Reports to 10422126|All|UCSDH/Medical Center/Nursing/4200405/405
FG-RT-10422126|Fund Group Org Set Reports to 10422126|All|UCSDH/Medical Center/Nursing/4200406/406
FG-RT-10422126|Fund Group Org Set Reports to 10422126|All|UCSDH/Medical Center/Nursing/4200693/693
FG-RT-10422126|Fund Group Org Set Reports to 10422126|All|UCSDH/Medical Center/Nursing/4200929/929
FG-RT-10422143|Fund Group Org Set Reports to 10422143|All|UCSDH/Medical Center/Nursing/4200647/647
FG-RT-10422147|Fund Group Org Set Reports to 10422147|All|UCSDH/Medical Center/ED/4200665/665
FG-RT-10422147|Fund Group Org Set Reports to 10422147|All|UCSDH/Medical Center/Lab/4200720/720
FG-RT-10422147|Fund Group Org Set Reports to 10422147|All|UCSDH/Medical Center/Nursing - Women and Infants/4200611/611
FG-RT-10422147|Fund Group Org Set Reports to 10422147|All|UCSDH/Medical Center/Nursing/4200392/392
FG-RT-10422147|Fund Group Org Set Reports to 10422147|All|UCSDH/Medical Center/Nursing/4200690/690
FG-RT-10422147|Fund Group Org Set Reports to 10422147|All|UCSDH/Medical Center/Nursing/4200692/692
FG-RT-10422147|Fund Group Org Set Reports to 10422147|All|UCSDH/Medical Center/Nursing/4200969/969
FG-RT-10422176|Fund Group Org Set Reports to 10422176|All|UCSDH/Medical Center/Revenue Cycle/4200962/962
FG-RT-10422203|Fund Group Org Set Reports to 10422203|All|UCSDH/Medical Center/Nursing/4200602/602
FG-RT-10422226|Fund Group Org Set Reports to 10422226|All|UCSDH/Medical Center/Marketing/4200974/974
FG-RT-10422239|Fund Group Org Set Reports to 10422239|All|UCSDH/Health Physician Group/Faculty Practice/4310055/2608
FG-RT-10422250|Fund Group Org Set Reports to 10422250|All|UCSDH/Medical Center/Psychiatry/4200221/221
FG-RT-10422260|Fund Group Org Set Reports to 10422260|All|UCSDH/PHSO/MSO Admin/4441027/2660
FG-RT-10422286|Fund Group Org Set Reports to 10422286|All|UCSDH/Medical Center/Revenue Cycle/4200962/962
FG-RT-10422306|Fund Group Org Set Reports to 10422306|All|UCSDH/Medical Center/Pharmacy/4200766/766
FG-RT-10422353|Fund Group Org Set Reports to 10422353|All|UCSDH/Health Physician Group/Faculty Practice/4310016/2375
FG-RT-10422353|Fund Group Org Set Reports to 10422353|All|UCSDH/Health Physician Group/Faculty Practice/4310016/2872
FG-RT-10422353|Fund Group Org Set Reports to 10422353|All|UCSDH/Medical Center/CVC - Cardiovascular/4200229/229
FG-RT-10422353|Fund Group Org Set Reports to 10422353|All|UCSDH/Medical Center/CVC - Cardiovascular/4200750/750
FG-RT-10422353|Fund Group Org Set Reports to 10422353|All|UCSDH/Medical Center/LM - Operations Support/4200239/239
